T,Method,state0_mean,state1_mean,state0_vol,state1_vol,gamma12,gamma21,acc1,acc2,BAC
250,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.986,0.349,0.668
250,MLE default,0.0,-0.003,0.008,0.017,0.051,0.702,0.974,0.073,0.523
250,MLE k-means,0.0,-0.001,0.007,0.012,0.453,0.524,0.833,0.129,0.481
250,Jump Model,0.001,-0.0,0.007,0.012,0.003,0.024,0.884,0.391,0.637
250,Sparse Jump,0.001,-0.0,0.007,0.012,0.004,0.024,0.885,0.394,0.639
500,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.987,0.515,0.751
500,MLE default,0.001,-0.002,0.008,0.023,0.08,0.397,0.996,0.168,0.582
500,MLE k-means,0.0,-0.002,0.007,0.026,0.396,0.491,0.955,0.102,0.528
500,Jump Model,0.001,-0.0,0.007,0.014,0.003,0.023,0.925,0.552,0.739
500,Sparse Jump,0.001,-0.0,0.007,0.014,0.003,0.024,0.92,0.568,0.744
1000,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.988,0.706,0.847
1000,MLE default,0.001,-0.001,0.007,0.025,0.083,0.228,0.994,0.359,0.676
1000,MLE k-means,0.001,-0.001,0.007,0.029,0.362,0.411,0.984,0.208,0.596
1000,Jump Model,0.001,-0.001,0.008,0.015,0.002,0.022,0.96,0.733,0.846
1000,Sparse Jump,0.001,-0.001,0.007,0.015,0.003,0.023,0.952,0.765,0.858
2000,True,0.001,-0.001,0.008,0.016,0.002,0.023,0.987,0.799,0.893
2000,MLE default,0.001,-0.001,0.007,0.023,0.084,0.193,0.988,0.462,0.725
2000,MLE k-means,0.001,-0.001,0.007,0.026,0.285,0.331,0.983,0.362,0.672
2000,Jump Model,0.001,-0.001,0.008,0.016,0.002,0.021,0.984,0.823,0.903
2000,Sparse Jump,0.001,-0.001,0.007,0.016,0.002,0.023,0.974,0.855,0.914
