lambda,BAC,mu,P,sim
0.01,0.506,0.02,15,0
0.028942661247167517,0.51,0.02,15,0
0.0837677640068292,0.512,0.02,15,0
0.24244620170823283,0.51,0.02,15,0
0.701703828670383,0.514,0.02,15,0
2.030917620904737,0.964,0.02,15,0
5.878016072274912,0.984,0.02,15,0
17.012542798525892,0.984,0.02,15,0
49.238826317067414,1.0,0.02,15,0
142.51026703029993,1.0,0.02,15,0
412.46263829013566,1.0,0.02,15,0
1193.7766417144383,1.0,0.02,15,0
3455.1072945922183,1.0,0.02,15,0
10000.0,1.0,0.02,15,0
0.01,0.4803300831539403,0.02,15,1
0.028942661247167517,0.5131062428770419,0.02,15,1
0.0837677640068292,0.5131062428770419,0.02,15,1
0.24244620170823283,0.5153433793423663,0.02,15,1
0.701703828670383,0.49311975011607784,0.02,15,1
2.030917620904737,0.5379257946055465,0.02,15,1
5.878016072274912,0.4742729306487696,0.02,15,1
17.012542798525892,0.5,0.02,15,1
49.238826317067414,0.5,0.02,15,1
142.51026703029993,0.5,0.02,15,1
412.46263829013566,0.5,0.02,15,1
1193.7766417144383,0.5,0.02,15,1
3455.1072945922183,0.5,0.02,15,1
10000.0,0.5,0.02,15,1
0.01,0.5260819351320137,0.02,15,2
0.028942661247167517,0.5270764492637388,0.02,15,2
0.0837677640068292,0.5167142536331847,0.02,15,2
0.24244620170823283,0.5247345288890315,0.02,15,2
0.701703828670383,0.5609701324949472,0.02,15,2
2.030917620904737,0.48411985499342336,0.02,15,2
5.878016072274912,0.4964871194379391,0.02,15,2
17.012542798525892,0.5,0.02,15,2
49.238826317067414,0.5,0.02,15,2
142.51026703029993,0.5,0.02,15,2
412.46263829013566,0.5,0.02,15,2
1193.7766417144383,0.5,0.02,15,2
3455.1072945922183,0.5,0.02,15,2
10000.0,0.5,0.02,15,2
0.01,0.55,0.02,15,3
0.028942661247167517,0.5030612244897958,0.02,15,3
0.0837677640068292,0.5040816326530613,0.02,15,3
0.24244620170823283,0.45510204081632655,0.02,15,3
0.701703828670383,0.47244897959183674,0.02,15,3
2.030917620904737,0.5540816326530612,0.02,15,3
5.878016072274912,0.4928571428571429,0.02,15,3
17.012542798525892,0.5,0.02,15,3
49.238826317067414,0.5,0.02,15,3
142.51026703029993,0.5,0.02,15,3
412.46263829013566,0.5,0.02,15,3
1193.7766417144383,0.5,0.02,15,3
3455.1072945922183,0.5,0.02,15,3
10000.0,0.5,0.02,15,3
0.01,0.5618452105251549,0.02,15,4
0.028942661247167517,0.5618452105251549,0.02,15,4
0.0837677640068292,0.5626392289199145,0.02,15,4
0.24244620170823283,0.560279229802157,0.02,15,4
0.701703828670383,0.41737797481197203,0.02,15,4
2.030917620904737,0.5136857892763405,0.02,15,4
5.878016072274912,0.46876860980612717,0.02,15,4
17.012542798525892,0.5,0.02,15,4
49.238826317067414,0.5,0.02,15,4
142.51026703029993,0.5,0.02,15,4
412.46263829013566,0.5,0.02,15,4
1193.7766417144383,0.5,0.02,15,4
3455.1072945922183,0.5,0.02,15,4
10000.0,0.5,0.02,15,4
0.01,0.48024488765463264,0.02,15,5
0.028942661247167517,0.5032188841201717,0.02,15,5
0.0837677640068292,0.5147058823529411,0.02,15,5
0.24244620170823283,0.5034082302448877,0.02,15,5
0.701703828670383,0.5284019187073972,0.02,15,5
2.030917620904737,0.47639484978540775,0.02,15,5
5.878016072274912,0.4796137339055794,0.02,15,5
17.012542798525892,0.5,0.02,15,5
49.238826317067414,0.5,0.02,15,5
142.51026703029993,0.5,0.02,15,5
412.46263829013566,0.5,0.02,15,5
1193.7766417144383,0.5,0.02,15,5
3455.1072945922183,0.5,0.02,15,5
10000.0,0.5,0.02,15,5
0.01,0.3214285714285714,0.02,15,6
0.028942661247167517,0.6969387755102041,0.02,15,6
0.0837677640068292,0.6969387755102041,0.02,15,6
0.24244620170823283,0.7020408163265306,0.02,15,6
0.701703828670383,0.3806122448979592,0.02,15,6
2.030917620904737,0.46938775510204084,0.02,15,6
5.878016072274912,0.4806122448979592,0.02,15,6
17.012542798525892,0.5,0.02,15,6
49.238826317067414,0.5,0.02,15,6
142.51026703029993,0.5,0.02,15,6
412.46263829013566,0.5,0.02,15,6
1193.7766417144383,0.5,0.02,15,6
3455.1072945922183,0.5,0.02,15,6
10000.0,0.5,0.02,15,6
0.01,0.4909876994275971,0.02,15,7
0.028942661247167517,0.4961636828644501,0.02,15,7
0.0837677640068292,0.4961636828644501,0.02,15,7
0.24244620170823283,0.4930580928023383,0.02,15,7
0.701703828670383,0.4107904031177689,0.02,15,7
2.030917620904737,0.47083181098526367,0.02,15,7
5.878016072274912,0.38095238095238093,0.02,15,7
17.012542798525892,0.5,0.02,15,7
49.238826317067414,0.5,0.02,15,7
142.51026703029993,0.5,0.02,15,7
412.46263829013566,0.5,0.02,15,7
1193.7766417144383,0.5,0.02,15,7
3455.1072945922183,0.5,0.02,15,7
10000.0,0.5,0.02,15,7
0.01,0.5489033636965039,0.02,15,8
0.028942661247167517,0.5289298254541753,0.02,15,8
0.0837677640068292,0.5365884687802147,0.02,15,8
0.24244620170823283,0.5514986514681186,0.02,15,8
0.701703828670383,0.5583176428680474,0.02,15,8
2.030917620904737,0.566637830135871,0.02,15,8
5.878016072274912,0.4814004376367615,0.02,15,8
17.012542798525892,0.5,0.02,15,8
49.238826317067414,0.5,0.02,15,8
142.51026703029993,0.5,0.02,15,8
412.46263829013566,0.5,0.02,15,8
1193.7766417144383,0.5,0.02,15,8
3455.1072945922183,0.5,0.02,15,8
10000.0,0.5,0.02,15,8
0.01,0.4040816326530612,0.02,15,9
0.028942661247167517,0.3877551020408163,0.02,15,9
0.0837677640068292,0.5744897959183674,0.02,15,9
0.24244620170823283,0.5295918367346939,0.02,15,9
0.701703828670383,0.4714285714285714,0.02,15,9
2.030917620904737,0.4857142857142857,0.02,15,9
5.878016072274912,0.39387755102040817,0.02,15,9
17.012542798525892,0.5,0.02,15,9
49.238826317067414,0.5,0.02,15,9
142.51026703029993,0.5,0.02,15,9
